Start_Date,Data Value,Date
12/01/2010,25.3,2010-12-01
12/01/2008,26.93,2008-12-01
01/01/2015,19.09,2015-01-01
01/01/2015,19.76,2015-01-01
12/01/2008,22.83,2008-12-01
01/01/2020,16.19,2020-01-01
12/01/2008,38.16,2008-12-01
12/01/2010,34.96,2010-12-01
12/01/2010,30.1,2010-12-01
12/01/2012,20.23,2012-12-01
12/01/2012,23.73,2012-12-01
12/01/2014,26.0,2014-12-01
01/01/2021,18.04,2021-01-01
12/01/2010,28.44,2010-12-01
06/01/2009,18.95,2009-06-01
06/01/2009,15.22,2009-06-01
12/01/2010,25.7,2010-12-01
12/01/2012,16.36,2012-12-01
01/01/2021,11.41,2021-01-01
01/01/2017,21.25,2017-01-01
12/01/2014,30.4,2014-12-01
01/01/2021,21.61,2021-01-01
12/01/2010,36.79,2010-12-01
06/01/2009,31.63,2009-06-01
12/01/2012,29.27,2012-12-01
12/01/2014,26.28,2014-12-01
01/01/2021,20.21,2021-01-01
12/01/2009,28.86,2009-12-01
06/01/2017,13.39,2017-06-01
06/01/2018,11.97,2018-06-01
12/01/2009,23.87,2009-12-01
06/01/2017,14.14,2017-06-01
12/01/2018,26.69,2018-12-01
06/01/2014,13.55,2014-06-01
12/01/2018,18.32,2018-12-01
06/01/2014,15.4,2014-06-01
12/01/2018,19.11,2018-12-01
06/01/2014,16.64,2014-06-01
12/01/2018,24.36,2018-12-01
12/01/2010,25.56,2010-12-01
01/01/2020,18.08,2020-01-01
06/01/2009,23.0,2009-06-01
12/01/2012,21.54,2012-12-01
01/01/2021,18.52,2021-01-01
06/01/2009,21.39,2009-06-01
12/01/2014,25.7,2014-12-01
12/01/2010,26.24,2010-12-01
06/01/2009,18.59,2009-06-01
12/01/2010,30.92,2010-12-01
12/01/2012,22.32,2012-12-01
01/01/2017,23.65,2017-01-01
12/01/2010,28.23,2010-12-01
06/01/2014,19.54,2014-06-01
01/01/2015,23.15,2015-01-01
12/01/2018,24.69,2018-12-01
12/01/2016,26.27,2016-12-01
06/01/2018,16.37,2018-06-01
06/01/2018,11.69,2018-06-01
06/01/2017,13.02,2017-06-01
12/01/2013,18.97,2013-12-01
06/01/2017,14.37,2017-06-01
06/01/2018,13.05,2018-06-01
12/01/2009,26.48,2009-12-01
12/01/2011,25.17,2011-12-01
12/01/2013,19.8,2013-12-01
01/01/2015,18.62,2015-01-01
12/01/2018,20.53,2018-12-01
01/01/2020,14.81,2020-01-01
12/01/2008,27.13,2008-12-01
12/01/2010,25.75,2010-12-01
01/01/2015,21.27,2015-01-01
06/01/2014,17.0,2014-06-01
01/01/2015,16.0,2015-01-01
12/01/2018,18.62,2018-12-01
01/01/2020,13.11,2020-01-01
01/01/2017,21.19,2017-01-01
01/01/2021,20.55,2021-01-01
12/01/2010,25.48,2010-12-01
12/01/2010,27.72,2010-12-01
12/01/2014,22.69,2014-12-01
01/01/2017,16.98,2017-01-01
12/01/2014,29.3,2014-12-01
01/01/2021,20.37,2021-01-01
12/01/2014,26.84,2014-12-01
01/01/2017,20.14,2017-01-01
12/01/2010,29.44,2010-12-01
06/01/2009,20.38,2009-06-01
12/01/2012,19.48,2012-12-01
12/01/2014,25.17,2014-12-01
01/01/2021,16.42,2021-01-01
01/01/2017,19.03,2017-01-01
01/01/2021,16.92,2021-01-01
12/01/2016,23.78,2016-12-01
06/01/2018,11.47,2018-06-01
06/01/2020,9.8,2020-06-01
12/01/2009,28.63,2009-12-01
12/01/2013,22.2,2013-12-01
06/01/2018,15.84,2018-06-01
12/01/2016,25.91,2016-12-01
12/01/2013,19.45,2013-12-01
06/01/2020,11.03,2020-06-01
12/01/2009,28.09,2009-12-01
12/01/2011,23.5,2011-12-01
06/01/2020,16.58,2020-06-01
06/01/2017,22.95,2017-06-01
12/01/2016,30.24,2016-12-01
06/01/2017,13.77,2017-06-01
12/01/2016,25.04,2016-12-01
12/01/2009,26.54,2009-12-01
06/01/2018,11.47,2018-06-01
12/01/2011,19.46,2011-12-01
12/01/2013,17.63,2013-12-01
12/01/2011,15.89,2011-12-01
12/01/2016,24.02,2016-12-01
12/01/2011,27.76,2011-12-01
12/01/2009,30.23,2009-12-01
12/01/2010,32.21,2010-12-01
06/01/2009,23.2,2009-06-01
12/01/2012,22.28,2012-12-01
12/01/2010,30.26,2010-12-01
12/01/2014,24.99,2014-12-01
01/01/2021,16.12,2021-01-01
06/01/2009,21.15,2009-06-01
12/01/2014,23.33,2014-12-01
12/01/2012,18.58,2012-12-01
01/01/2017,18.72,2017-01-01
01/01/2021,15.66,2021-01-01
12/01/2012,32.1,2012-12-01
06/01/2009,35.65,2009-06-01
01/01/2021,21.83,2021-01-01
06/01/2009,35.28,2009-06-01
01/01/2015,20.85,2015-01-01
06/01/2018,13.62,2018-06-01
06/01/2020,13.16,2020-06-01
12/01/2009,24.39,2009-12-01
06/01/2017,14.97,2017-06-01
12/01/2011,23.5,2011-12-01
06/01/2020,10.82,2020-06-01
06/01/2017,13.75,2017-06-01
12/01/2013,17.0,2013-12-01
06/01/2017,10.26,2017-06-01
12/01/2009,26.12,2009-12-01
12/01/2016,24.86,2016-12-01
12/01/2016,24.81,2016-12-01
06/01/2018,12.77,2018-06-01
12/01/2013,23.86,2013-12-01
06/01/2017,18.89,2017-06-01
12/01/2016,28.51,2016-12-01
01/01/2021,20.55,2021-01-01
01/01/2017,21.12,2017-01-01
01/01/2021,14.77,2021-01-01
06/01/2009,17.94,2009-06-01
12/01/2010,25.99,2010-12-01
12/01/2014,23.37,2014-12-01
12/01/2014,26.21,2014-12-01
01/01/2017,20.56,2017-01-01
01/01/2021,18.56,2021-01-01
12/01/2010,30.54,2010-12-01
12/01/2008,27.71,2008-12-01
12/01/2010,25.3,2010-12-01
12/01/2008,31.8,2008-12-01
06/01/2014,21.27,2014-06-01
01/01/2020,19.36,2020-01-01
06/01/2014,16.43,2014-06-01
12/01/2018,24.22,2018-12-01
12/01/2008,24.11,2008-12-01
12/01/2010,23.86,2010-12-01
01/01/2020,13.02,2020-01-01
12/01/2013,19.75,2013-12-01
06/01/2017,13.39,2017-06-01
12/01/2010,33.62,2010-12-01
06/01/2009,28.43,2009-06-01
12/01/2014,27.42,2014-12-01
06/01/2018,14.4,2018-06-01
06/01/2017,14.14,2017-06-01
06/01/2017,13.08,2017-06-01
06/01/2018,11.98,2018-06-01
06/01/2018,12.84,2018-06-01
06/01/2020,12.14,2020-06-01
12/01/2011,26.68,2011-12-01
06/01/2018,15.84,2018-06-01
06/01/2014,14.16,2014-06-01
12/01/2014,25.37,2014-12-01
01/01/2017,18.87,2017-01-01
01/01/2021,18.03,2021-01-01
12/01/2014,22.67,2014-12-01
01/01/2020,19.63,2020-01-01
12/01/2008,14.55,2008-12-01
12/01/2010,14.15,2010-12-01
12/01/2018,13.88,2018-12-01
01/01/2020,16.19,2020-01-01
12/01/2008,27.13,2008-12-01
12/01/2008,31.95,2008-12-01
12/01/2010,29.3,2010-12-01
06/01/2014,20.87,2014-06-01
12/01/2018,25.25,2018-12-01
01/01/2020,19.62,2020-01-01
12/01/2010,16.17,2010-12-01
12/01/2011,28.89,2011-12-01
12/01/2009,30.21,2009-12-01
12/01/2010,23.32,2010-12-01
12/01/2010,19.21,2010-12-01
12/01/2008,20.22,2008-12-01
01/01/2015,16.52,2015-01-01
12/01/2010,25.24,2010-12-01
12/01/2008,26.29,2008-12-01
01/01/2020,18.94,2020-01-01
01/01/2020,18.59,2020-01-01
12/01/2018,23.64,2018-12-01
12/01/2014,23.05,2014-12-01
12/01/2009,28.09,2009-12-01
12/01/2011,23.5,2011-12-01
12/01/2011,20.3,2011-12-01
12/01/2011,22.78,2011-12-01
12/01/2013,18.82,2013-12-01
06/01/2018,12.77,2018-06-01
12/01/2016,24.81,2016-12-01
06/01/2020,9.35,2020-06-01
12/01/2011,26.18,2011-12-01
06/01/2017,16.21,2017-06-01
12/01/2016,27.47,2016-12-01
06/01/2020,14.49,2020-06-01
06/01/2017,16.75,2017-06-01
06/01/2018,15.38,2018-06-01
12/01/2012,20.23,2012-12-01
12/01/2010,26.24,2010-12-01
12/01/2010,28.44,2010-12-01
06/01/2009,18.49,2009-06-01
12/01/2010,19.33,2010-12-01
12/01/2008,19.92,2008-12-01
06/01/2014,12.11,2014-06-01
12/01/2018,18.04,2018-12-01
01/01/2020,14.82,2020-01-01
12/01/2010,31.48,2010-12-01
06/01/2009,21.87,2009-06-01
06/01/2017,11.34,2017-06-01
06/01/2018,10.37,2018-06-01
06/01/2020,8.64,2020-06-01
12/01/2016,20.47,2016-12-01
06/01/2017,16.36,2017-06-01
06/01/2018,11.69,2018-06-01
12/01/2011,25.92,2011-12-01
06/01/2017,16.69,2017-06-01
06/01/2017,16.21,2017-06-01
01/01/2021,16.03,2021-01-01
06/01/2009,23.14,2009-06-01
01/01/2021,19.04,2021-01-01
12/01/2014,21.77,2014-12-01
01/01/2017,15.45,2017-01-01
01/01/2021,14.76,2021-01-01
01/01/2015,25.77,2015-01-01
12/01/2018,26.54,2018-12-01
01/01/2015,23.25,2015-01-01
06/01/2014,16.63,2014-06-01
12/01/2008,23.62,2008-12-01
01/01/2015,19.16,2015-01-01
12/01/2008,21.33,2008-12-01
12/01/2010,20.44,2010-12-01
12/01/2018,19.26,2018-12-01
