Start_Date,Data Value,Date,year,month,Disease,Count
01/01/2015,19.09,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,19.09,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,19.09,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,19.76,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,19.76,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,19.76,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,23.15,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,23.15,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,23.15,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,18.62,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,18.62,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,18.62,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,21.27,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,21.27,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,21.27,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,16.0,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,16.0,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,16.0,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,20.85,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,20.85,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,20.85,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,16.52,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,16.52,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,16.52,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,25.77,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,25.77,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,25.77,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,23.25,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,23.25,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,23.25,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,19.16,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,19.16,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,19.16,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,29.29,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,29.29,2015-01-01,2015,1,chronic_lower_respiratory,16769
01/01/2015,29.29,2015-01-01,2015,1,other_diseases_of_respiratory,3797
01/01/2015,19.72,2015-01-01,2015,1,influenza_and_pneumonia,10005
01/01/2015,19.72,2015-01-01,2015,1,chronic_lower_respiratory,16769
